id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
18,2,Diverse Lebensmittel,Aliments divers,Diverse derrate alimentari,Miscellaneous,1.0,"[2259, 2265]"
23,1,"Blattgemüse (ohne Kohlgemüse), Blattsalate und Algen","Légumes-feuilles (excl. chou), mescluns et algues","Verdure a foglie (esclusi cavoli), insalate a foglie e alghe",Leafy Vegetables (Except Cabbages),1.0,[2259]
120,1,Schwein,Porc,Maiale,Pork,1.0,[2263]
21,1,Kartoffeln,Pommes de terre,Patate,Potatoes,1.0,[2270]
3,1,Gemüse,Légumes,Ortaggi,Vegetables,1.0,[2270]
42,1,Käse,Fromages,Formaggi,Cheeses (Including Spread Cheeses),1.0,[2271]
56,1,Fleisch- und Wurstwaren (verarbeitetes Fleisch),Charcuterie,Prodotti di carne e insaccati (carne trasformata),Processed Meat,1.0,[2271]
60,1,Fische,Poissons,Pesce,Fish,1.0,[2271]
6,1,"Milch, Milchprodukte und Milchersatzprodukte","Laits, produits laitiers et substituts de lait","Latte, latticini e succedanei del latte",Dairy Products And Substitutes,1.0,[2273]
126,1,Huhn und Hähnchen,"Poule, poulet","Pollo, gallina","Chicken, Hen",1.0,[2275]
